"Year","Country","Life_Expectancy_Overall","Life_Expectancy_Male","Life_Expectancy_Female","Total_Fertility_Rate","Subregion","Region"
2002,"Cameroon",52.56,51.43,53.72,5.6808,"Middle Africa","Africa"
2022,"Cameroon",63.27,61.49,65.09,4.552,"Middle Africa","Africa"
2002,"Canada",80.27,77.84,82.83,1.5029,"Northern America","Americas"
2022,"Canada",83.8,81.52,86.21,1.5699,"Northern America","Americas"
2002,"Cayman Islands",78.6,76.14,81.1,1.9134,"Caribbean","Americas"
2022,"Cayman Islands",82.04,79.35,84.79,1.8245,"Caribbean","Americas"
2002,"Central African Republic",47.06,45.97,48.18,5.1393,"Middle Africa","Africa"
2022,"Central African Republic",55.52,54.19,56.88,4.04,"Middle Africa","Africa"
2002,"Chad",50.46,49.03,51.95,7.2,"Middle Africa","Africa"
2022,"Chad",59.15,57.32,61.06,5.46,"Middle Africa","Africa"
2002,"Chile",76.48,73.39,79.71,1.9368,"South America","Americas"
2022,"Chile",79.79,76.8,82.92,1.758,"South America","Americas"
2002,"China",72.5,70.1,75.32,1.51,"Eastern Asia","Asia"
2022,"China",77.72,75,80.7,1.45,"Eastern Asia","Asia"
2002,"Colombia",72.45,68.93,76.13,2.4617,"South America","Americas"
2022,"Colombia",74.89,71.27,78.69,1.9466,"South America","Americas"
2002,"Comoros",60.54,58.91,62.21,5.25,"Eastern Africa","Africa"
2022,"Comoros",67.2,64.93,69.54,2.778,"Eastern Africa","Africa"
2002,"Congo (Brazzaville)",61.93,61.11,62.78,4.7433,"Middle Africa","Africa"
2022,"Congo (Brazzaville)",71.45,70.19,72.75,3.924,"Middle Africa","Africa"
2002,"Congo (Kinshasa)",52.59,51.4,53.82,6.5959,"Middle Africa","Africa"
2022,"Congo (Kinshasa)",61.83,60.03,63.69,5.63,"Middle Africa","Africa"
2002,"Cook Islands",72.43,69.74,75.26,3.0013,"Polynesia","Oceania"
2022,"Cook Islands",77.14,74.32,80.11,2.068,"Polynesia","Oceania"
2002,"Costa Rica",76.23,73.66,78.94,2.0806,"Central America","Americas"
2022,"Costa Rica",78.99,76.26,81.86,1.3717,"Central America","Americas"
2002,"Côte d'Ivoire",51.17,49.37,53.02,5.1818,"Western Africa","Africa"
2022,"Côte d'Ivoire",62.26,60.07,64.52,3.534,"Western Africa","Africa"
2002,"Croatia",74.64,70.95,78.53,1.3227,"Southern Europe","Europe"
2022,"Croatia",77.22,74.1,80.53,1.4463,"Southern Europe","Europe"
2002,"Cuba",77.54,75.33,79.88,1.6644,"Caribbean","Americas"
2022,"Cuba",79.64,77.29,82.14,1.709,"Caribbean","Americas"
2002,"Curaçao",76.2,74.1,78.41,2.1352,"Caribbean","Americas"
2022,"Curaçao",79.42,77.09,81.87,1.98,"Caribbean","Americas"
2002,"Cyprus",75.9,73.29,78.63,1.494,"Western Asia","Asia"
2022,"Cyprus",79.74,76.93,82.68,1.4818,"Western Asia","Asia"
2002,"Czechia",75.38,72.15,78.8,1.1753,"Eastern Europe","Europe"
2022,"Czechia",77.89,74.55,81.41,1.7441,"Eastern Europe","Europe"
2002,"Denmark",77,74.8,79.33,1.7239,"Northern Europe","Europe"
2022,"Denmark",81.66,79.74,83.71,1.7719,"Northern Europe","Europe"
2002,"Djibouti",58.33,56.08,60.65,4.002,"Eastern Africa","Africa"
2022,"Djibouti",65.3,62.72,67.96,2.15,"Eastern Africa","Africa"
2002,"Dominica",75.72,72.99,78.6,2.212,"Caribbean","Americas"
2022,"Dominica",78.21,75.25,81.31,2.016,"Caribbean","Americas"
2002,"Dominican Republic",67.77,66.12,69.48,2.9385,"Caribbean","Americas"
2022,"Dominican Republic",71.07,69.53,72.66,2.1166,"Caribbean","Americas"
2002,"Ecuador",75.34,72.69,78.13,3.2643,"South America","Americas"
2022,"Ecuador",74.91,69.65,80.44,2.278,"South America","Americas"
2002,"Egypt",68.4,67.18,69.69,3.3368,"Northern Africa","Africa"
2022,"Egypt",74.45,73.26,75.72,2.878,"Northern Africa","Africa"
2002,"El Salvador",69.52,65.86,73.37,2.728,"Central America","Americas"
2022,"El Salvador",75.37,71.88,79.04,2.054,"Central America","Americas"
2002,"Equatorial Guinea",58.13,56.1,60.23,5.5528,"Middle Africa","Africa"
2022,"Equatorial Guinea",63.7,61.44,66.03,4.2642,"Middle Africa","Africa"
2002,"Eritrea",60.21,57.95,62.54,5.73,"Eastern Africa","Africa"
2022,"Eritrea",66.85,64.25,69.53,3.578,"Eastern Africa","Africa"
2002,"Estonia",70.74,64.98,76.72,1.3778,"Northern Europe","Europe"
2022,"Estonia",77.88,73.25,82.73,1.6141,"Northern Europe","Europe"
2002,"Eswatini",47.26,45.72,48.85,4.1053,"Southern Africa","Africa"
2022,"Eswatini",59.69,57.62,61.81,2.444,"Southern Africa","Africa"
2002,"Ethiopia",54.56,53.08,56.08,5.361,"Eastern Africa","Africa"
2022,"Ethiopia",66.6,64.4,68.87,3.992,"Eastern Africa","Africa"
2002,"Faroe Islands",78.81,76.56,81.18,2.548,"Northern Europe","Europe"
2022,"Faroe Islands",81.26,78.73,83.97,2.2901,"Northern Europe","Europe"
2002,"Fiji",68.48,66.06,71.03,2.6936,"Melanesia","Oceania"
2022,"Fiji",74.27,71.6,77.07,2.258,"Melanesia","Oceania"
2002,"Finland",78.1,74.84,81.55,1.7251,"Northern Europe","Europe"
2022,"Finland",81.76,78.86,84.79,1.7398,"Northern Europe","Europe"
2002,"France",79.44,75.95,83.11,1.8795,"Western Europe","Europe"
2022,"France",82.39,79.56,85.36,1.9044,"Western Europe","Europe"
2002,"French Polynesia",73.24,71.24,75.34,2.4144,"Polynesia","Oceania"
2022,"French Polynesia",78.43,76.11,80.86,1.81,"Polynesia","Oceania"
2002,"Gabon",59.03,58.36,59.73,4.1836,"Middle Africa","Africa"
2022,"Gabon",69.7,67.98,71.48,3.31,"Middle Africa","Africa"
2002,"Gambia, The",60.09,58.32,61.92,6.1205,"Western Africa","Africa"
2022,"Gambia, The",67.6,65.83,69.41,3.792,"Western Africa","Africa"
2002,"Gaza Strip",71.06,69.73,72.47,6.2,"Western Asia","Asia"
2022,"Gaza Strip",74.14,72.2,76.2,3.5,"Western Asia","Asia"
2002,"Georgia",72.45,69.2,76.22,1.6006,"Western Asia","Asia"
2022,"Georgia",71.83,67.92,76.01,1.9728,"Western Asia","Asia"
2002,"Germany",78.37,75.64,81.25,1.3303,"Western Europe","Europe"
2022,"Germany",81.51,79.15,84,1.5744,"Western Europe","Europe"
2002,"Ghana",60.01,58.41,61.67,4.5271,"Western Africa","Africa"
2022,"Ghana",69.37,67.7,71.09,3.66,"Western Africa","Africa"
2002,"Gibraltar",75.99,75.17,76.85,2.14,"Southern Europe","Europe"
2022,"Gibraltar",80.42,77.58,83.41,1.9049,"Southern Europe","Europe"
2002,"Greece",78.83,76.25,81.59,1.2784,"Southern Europe","Europe"
2022,"Greece",81.49,78.96,84.2,1.3951,"Southern Europe","Europe"
2002,"Greenland",68.31,65.2,71.51,2.4931,"Northern America","Americas"
2022,"Greenland",73.98,71.28,76.82,1.908,"Northern America","Americas"
2002,"Grenada",69.22,66.72,71.86,2.311,"Caribbean","Americas"
2022,"Grenada",75.74,73.13,78.6,1.932,"Caribbean","Americas"
2002,"Guam",76.69,74.35,79.24,2.7176,"Micronesia","Oceania"
2022,"Guam",77.5,75.07,80.08,2.784,"Micronesia","Oceania"
2002,"Guatemala",67.34,65.75,69.02,4.2575,"Central America","Americas"
2022,"Guatemala",72.91,70.88,75.04,2.62,"Central America","Americas"
2002,"Guernsey",79.71,77.57,82.03,1.2139,"Northern Europe","Europe"
2022,"Guernsey",83.23,80.52,86.07,1.5822,"Northern Europe","Europe"
2002,"Guinea",51.97,50.54,53.44,5.605,"Western Africa","Africa"
2022,"Guinea",63.9,62.04,65.82,4.852,"Western Africa","Africa"
2002,"Guinea-Bissau",51.06,49.08,53.09,5.412,"Western Africa","Africa"
2022,"Guinea-Bissau",63.68,61.45,65.99,4.686,"Western Africa","Africa"
2002,"Guyana",67.88,66,69.86,3.7265,"South America","Americas"
2022,"Guyana",71.87,70.03,73.8,2.064,"South America","Americas"
2002,"Haiti",57.24,56.16,58.32,4.2988,"Caribbean","Americas"
2022,"Haiti",64.03,62.15,65.93,2.54,"Caribbean","Americas"
2002,"Honduras",68.51,64.64,72.49,3.98,"Central America","Americas"
2022,"Honduras",70.64,67.17,74.21,2.404,"Central America","Americas"
2002,"Hong Kong",81.25,78.6,84.15,0.94,"Eastern Asia","Asia"
2022,"Hong Kong",83.61,80.91,86.46,1.2232,"Eastern Asia","Asia"
2002,"Hungary",72.31,68.25,76.59,1.308,"Eastern Europe","Europe"
2022,"Hungary",74.66,71.4,78.1,1.5909,"Eastern Europe","Europe"
2002,"Iceland",80.35,78.4,82.38,1.9438,"Northern Europe","Europe"
2022,"Iceland",83.64,81.41,85.97,1.954,"Northern Europe","Europe"
2002,"India",63.78,62.45,65.27,3.112,"South-Central Asia","Asia"
2022,"India",67.22,65.46,69.16,2.0975,"South-Central Asia","Asia"
2002,"Indonesia",68.61,66.22,71.11,2.542,"South-Eastern Asia","Asia"
2022,"Indonesia",73.08,70.86,75.4,2.014,"South-Eastern Asia","Asia"
2002,"Iran",68.73,67.44,70.09,2.0568,"South-Central Asia","Asia"
2022,"Iran",75.25,73.89,76.67,1.9255,"South-Central Asia","Asia"
2002,"Iraq",68.13,66.51,69.83,4.84,"Western Asia","Asia"
2022,"Iraq",73.18,71.3,75.15,3.246,"Western Asia","Asia"
2002,"Ireland",77.55,74.97,80.26,1.9758,"Northern Europe","Europe"
2022,"Ireland",82.42,80.7,84.25,1.7219,"Northern Europe","Europe"
2002,"Isle of Man",77.78,75.53,80.35,1.7692,"Northern Europe","Europe"
2022,"Isle of Man",82.04,80.23,84,1.8899,"Northern Europe","Europe"
2002,"Israel",79.01,76.9,81.22,2.9141,"Western Asia","Asia"
2022,"Israel",82.05,80.1,84.1,2.9705,"Western Asia","Asia"
2002,"Italy",80.36,77.59,83.29,1.2405,"Southern Europe","Europe"
2022,"Italy",82.59,80.25,85.08,1.2217,"Southern Europe","Europe"
2002,"Jamaica",71.05,69.22,72.97,2.485,"Caribbean","Americas"
2022,"Jamaica",75.75,73.98,77.6,2.058,"Caribbean","Americas"
2002,"Japan",81.53,78.18,85.07,1.3285,"Eastern Asia","Asia"
2022,"Japan",84.83,81.92,87.9,1.3832,"Eastern Asia","Asia"
2002,"Jersey",78.04,75.85,80.37,1.402,"Northern Europe","Europe"
2022,"Jersey",82.63,80.13,85.28,1.6567,"Northern Europe","Europe"
2002,"Jordan",70.78,69.55,72.08,4.0067,"Western Asia","Asia"
2022,"Jordan",76.01,74.51,77.6,2.956,"Western Asia","Asia"
2002,"Kazakhstan",64.77,59.55,70.31,1.9213,"South-Central Asia","Asia"
2022,"Kazakhstan",72.77,68.43,77.4,2.594,"South-Central Asia","Asia"
2002,"Kenya",55.03,54.86,55.21,4.975,"Eastern Africa","Africa"
2022,"Kenya",69.69,67.98,71.43,3.294,"Eastern Africa","Africa"
2002,"Kiribati",61.02,58.86,63.29,3.765,"Micronesia","Oceania"
2022,"Kiribati",67.9,65.3,70.64,2.202,"Micronesia","Oceania"
2002,"Korea, North",63.65,59.03,68.48,2.0867,"Eastern Asia","Asia"
2022,"Korea, North",72.9,69.5,76.5,1.83,"Eastern Asia","Asia"
2002,"Korea, South",76.8,73.54,80.39,1.2505,"Eastern Asia","Asia"
2022,"Korea, South",82.97,79.88,86.24,1.1013,"Eastern Asia","Asia"
2002,"Kosovo",67.9,65.69,70.3,2.6645,"Southern Europe","Europe"
2022,"Kosovo",71.12,68.83,73.58,1.8991,"Southern Europe","Europe"
2002,"Kuwait",75.1,73.82,76.43,2.5726,"Western Asia","Asia"
2022,"Kuwait",79.13,77.67,80.65,2.2361,"Western Asia","Asia"
2002,"Kyrgyzstan",66.83,62.51,71.31,2.5771,"South-Central Asia","Asia"
2022,"Kyrgyzstan",72.35,68.27,76.71,2.496,"South-Central Asia","Asia"
2002,"Laos",57.62,55.87,59.44,4.36,"South-Eastern Asia","Asia"
2022,"Laos",68.15,66.49,69.88,2.352,"South-Eastern Asia","Asia"
2002,"Latvia",70.45,66.09,75.03,1.2374,"Northern Europe","Europe"
2022,"Latvia",75.91,71.47,80.56,1.5423,"Northern Europe","Europe"
2002,"Lebanon",74.11,72.93,75.35,1.99,"Western Asia","Asia"
2022,"Lebanon",78.76,77.36,80.23,1.71,"Western Asia","Asia"
2002,"Lesotho",49.41,48.34,50.51,3.6169,"Southern Africa","Africa"
2022,"Lesotho",59.57,57.57,61.64,2.916,"Southern Africa","Africa"
2002,"Liberia",49.83,48.54,51.15,5.7325,"Western Africa","Africa"
2022,"Liberia",61,59.36,62.68,4.122,"Western Africa","Africa"
2002,"Libya",NA,NA,NA,NA,"Northern Africa","Africa"
2022,"Libya",77.18,74.94,79.53,3.09,"Northern Africa","Africa"
2002,"Liechtenstein",79.23,76.48,82.18,1.4833,"Western Europe","Europe"
2022,"Liechtenstein",82.56,80.33,85.38,1.691,"Western Europe","Europe"
2002,"Lithuania",71.46,65.71,77.52,1.2211,"Northern Europe","Europe"
2022,"Lithuania",75.78,70.42,81.44,1.6093,"Northern Europe","Europe"
2002,"Luxembourg",78.48,75.07,82.07,1.6966,"Western Europe","Europe"
2022,"Luxembourg",82.98,80.52,85.58,1.6291,"Western Europe","Europe"
2002,"Macau",83.25,80.2,86.44,0.8374,"Eastern Asia","Asia"
2022,"Macau",84.98,82.09,88.02,1.22,"Eastern Asia","Asia"
2002,"Madagascar",60.91,59.98,61.87,5.172,"Eastern Africa","Africa"
2022,"Madagascar",68.17,66.8,69.57,3.624,"Eastern Africa","Africa"
2002,"Malawi",60.08,57.15,63.05,6.065,"Eastern Africa","Africa"
2022,"Malawi",72.44,69.33,75.59,3.404,"Eastern Africa","Africa"
2002,"Malaysia",73.88,71.92,75.97,2.5061,"South-Eastern Asia","Asia"
2022,"Malaysia",76.13,74.5,77.87,1.7509,"South-Eastern Asia","Asia"
2002,"Maldives",72.15,70.1,74.31,2.5158,"South-Central Asia","Asia"
2022,"Maldives",76.94,74.57,79.42,1.706,"South-Central Asia","Asia"
2002,"Mali",52.44,50.78,54.14,7.0867,"Western Africa","Africa"
2022,"Mali",62.41,60.19,64.7,5.54,"Western Africa","Africa"
2002,"Malta",79.07,76.67,81.59,1.4562,"Southern Europe","Europe"
2022,"Malta",83.2,81.11,85.38,1.5027,"Southern Europe","Europe"
2002,"Marshall Islands",68.95,67.05,70.94,4.2075,"Micronesia","Oceania"
2022,"Marshall Islands",74.65,72.4,77.01,2.764,"Micronesia","Oceania"
2002,"Mauritania",57.62,55.65,59.64,4.98,"Western Africa","Africa"
2022,"Mauritania",65.22,62.77,67.75,3.526,"Western Africa","Africa"
2002,"Mauritius",71.85,68.44,75.35,1.9142,"Eastern Africa","Africa"
2022,"Mauritius",74.86,72.04,77.88,1.3485,"Eastern Africa","Africa"
2002,"Mexico",73.48,71.01,76.08,2.618,"Central America","Americas"
2022,"Mexico",72.32,68.93,75.88,1.6753,"Central America","Americas"
2002,"Micronesia, Federated States of",68.71,66.99,70.52,3.622,"Micronesia","Oceania"
2022,"Micronesia, Federated States of",74.44,72.34,76.66,2.242,"Micronesia","Oceania"
2002,"Moldova",67.61,64.02,71.48,1.32,"Eastern Europe","Europe"
2022,"Moldova",69.38,65.51,73.52,1.2371,"Eastern Europe","Europe"
2002,"Monaco",88.09,85.09,91.47,1.3168,"Western Europe","Europe"
2022,"Monaco",89.52,85.7,93.49,1.5285,"Western Europe","Europe"
2002,"Mongolia",65.04,61.71,68.54,2.1,"Eastern Asia","Asia"
2022,"Mongolia",71.37,67.19,75.76,1.91,"Eastern Asia","Asia"
2002,"Montenegro",74.45,71.83,77.34,1.8635,"Southern Europe","Europe"
2022,"Montenegro",77.75,75.32,80.27,1.8113,"Southern Europe","Europe"
2002,"Montserrat",72.98,74.98,70.84,1.1808,"Caribbean","Americas"
2022,"Montserrat",75.7,76.66,74.7,1.3162,"Caribbean","Americas"
2002,"Morocco",67.24,65.66,68.9,2.792,"Northern Africa","Africa"
2022,"Morocco",73.68,71.98,75.46,2.2906,"Northern Africa","Africa"
2002,"Mozambique",44.92,44.26,45.6,5.54,"Eastern Africa","Africa"
2022,"Mozambique",57.1,55.76,58.49,4.8125,"Eastern Africa","Africa"
2002,"Namibia",53.07,52.93,53.22,4.0586,"Southern Africa","Africa"
2022,"Namibia",61.46,59.85,63.13,2.982,"Southern Africa","Africa"
2002,"Nauru",61.64,57.84,64.81,3.4072,"Micronesia","Oceania"
2022,"Nauru",67.93,64.38,71.62,2.616,"Micronesia","Oceania"
2002,"Nepal",63.1,62.21,64.03,3.6839,"South-Central Asia","Asia"
2022,"Nepal",72.4,71.66,73.17,1.904,"South-Central Asia","Asia"
2002,"Netherlands",78.29,76,80.7,1.7212,"Western Europe","Europe"
2022,"Netherlands",81.47,79.88,83.15,1.6103,"Western Europe","Europe"
2002,"New Caledonia",74.35,70.41,78.48,2.3147,"Melanesia","Oceania"
2022,"New Caledonia",78.83,74.93,82.92,1.856,"Melanesia","Oceania"
2002,"New Zealand",78.8,76.7,80.98,1.9562,"Australia/New Zealand","Oceania"
2022,"New Zealand",82.54,80.78,84.39,1.8618,"Australia/New Zealand","Oceania"
2002,"Nicaragua",69.84,68.08,71.69,2.965,"Central America","Americas"
2022,"Nicaragua",74.31,72.75,75.95,1.865,"Central America","Americas"
2002,"Niger",47.43,46.54,48.36,8.2,"Western Africa","Africa"
2022,"Niger",60.09,58.55,61.68,6.8194,"Western Africa","Africa"
2002,"Nigeria",49.03,47.67,50.47,6.035,"Western Africa","Africa"
2022,"Nigeria",61.33,59.51,63.27,4.618,"Western Africa","Africa"
2002,"North Macedonia",73.02,70.6,75.6,1.5514,"Southern Europe","Europe"
2022,"North Macedonia",76.84,74.73,79.08,1.5132,"Southern Europe","Europe"
2002,"Northern Mariana Islands",73.81,71.89,76.06,1.6157,"Micronesia","Oceania"
2022,"Northern Mariana Islands",76.58,74.48,79.03,2.6277,"Micronesia","Oceania"
2002,"Norway",78.88,76.41,81.46,1.7673,"Northern Europe","Europe"
2022,"Norway",83.11,81.55,84.73,1.5636,"Northern Europe","Europe"
2002,"Oman",72.04,70.22,73.96,3.5179,"Western Asia","Asia"
2022,"Oman",76.9,74.96,78.93,2.7025,"Western Asia","Asia"
2002,"Pakistan",62.56,60.99,64.21,4.9329,"South-Central Asia","Asia"
2022,"Pakistan",69.67,67.62,71.82,3.4631,"South-Central Asia","Asia"
2002,"Palau",68.99,65.93,72.23,1.8746,"Micronesia","Oceania"
2022,"Palau",74.64,71.48,78,1.7,"Micronesia","Oceania"
2002,"Panama",75.96,73.27,78.78,2.5843,"Central America","Americas"
2022,"Panama",77.62,74.76,80.66,2.3877,"Central America","Americas"
2002,"Papua New Guinea",64.27,62.89,65.72,4.476,"Melanesia","Oceania"
2022,"Papua New Guinea",69.43,67.76,71.19,3.9165,"Melanesia","Oceania"
2002,"Paraguay",74.07,71.71,76.54,2.99,"South America","Americas"
2022,"Paraguay",78.37,75.72,81.15,1.888,"South America","Americas"
2002,"Peru",71.45,69.93,73.04,2.8045,"South America","Americas"
2022,"Peru",68.94,65.38,72.67,2.204,"South America","Americas"
2002,"Philippines",69.65,65.87,73.63,3.6081,"South-Eastern Asia","Asia"
2022,"Philippines",70.14,66.6,73.86,2.7798,"South-Eastern Asia","Asia"
2002,"Poland",74.58,70.71,78.68,1.2188,"Eastern Europe","Europe"
2022,"Poland",74.74,70.62,79.09,1.3069,"Eastern Europe","Europe"
2002,"Portugal",76.88,73.58,80.44,1.4269,"Southern Europe","Europe"
2022,"Portugal",81.5,78.37,84.79,1.4257,"Southern Europe","Europe"
2002,"Puerto Rico",NA,NA,NA,NA,"Caribbean","Americas"
2022,"Puerto Rico",81.68,78.47,85.08,1.2432,"Caribbean","Americas"
2002,"Qatar",76,74.38,77.71,2.8028,"Western Asia","Asia"
2022,"Qatar",79.81,77.7,81.96,1.9026,"Western Asia","Asia"
2002,"Romania",71.09,67.55,74.84,1.2267,"Eastern Europe","Europe"
2022,"Romania",75.75,72.3,79.4,1.6297,"Eastern Europe","Europe"
2002,"Russia",65.81,59.6,72.38,1.2852,"Eastern Europe","Europe"
2022,"Russia",71.79,66.94,76.93,1.5113,"Eastern Europe","Europe"
2002,"Rwanda",53.37,51.82,54.97,5.6212,"Eastern Africa","Africa"
2022,"Rwanda",65.85,63.89,67.86,3.328,"Eastern Africa","Africa"
2002,"Saint Barthelemy",77.2,74.1,80.42,1.6223,"Caribbean","Americas"
2022,"Saint Barthelemy",80.58,77.48,83.81,1.6382,"Caribbean","Americas"
2002,"Saint Helena, Ascension, and Tristan da Cunha",77.05,74.13,80.12,1.5343,"Western Africa","Africa"
2022,"Saint Helena, Ascension, and Tristan da Cunha",80.48,77.58,83.51,1.6033,"Western Africa","Africa"
2002,"Saint Kitts and Nevis",72.99,72.42,73.55,1.9468,"Caribbean","Americas"
2022,"Saint Kitts and Nevis",77.08,74.63,79.58,1.7639,"Caribbean","Americas"
2002,"Saint Lucia",75.23,73.07,77.51,1.9589,"Caribbean","Americas"
2022,"Saint Lucia",78.95,76.21,81.84,1.722,"Caribbean","Americas"
2002,"Saint Martin",77.2,74.1,80.42,1.8293,"Caribbean","Americas"
2022,"Saint Martin",80.58,77.48,83.81,1.8029,"Caribbean","Americas"
2002,"Saint Pierre and Miquelon",79.63,77.78,81.58,1.5089,"Northern America","Americas"
2022,"Saint Pierre and Miquelon",81.41,79.05,83.9,1.5885,"Northern America","Americas"
2002,"Saint Vincent and the Grenadines",71.22,69.67,72.82,2.3254,"Caribbean","Americas"
2022,"Saint Vincent and the Grenadines",76.68,74.63,78.79,1.748,"Caribbean","Americas"
2002,"Samoa",69.83,67.08,72.73,4.3383,"Polynesia","Oceania"
2022,"Samoa",75.19,72.28,78.25,2.4163,"Polynesia","Oceania"
2002,"San Marino",81.22,77.94,85.45,1.3282,"Southern Europe","Europe"
2022,"San Marino",83.86,81.3,86.65,1.5261,"Southern Europe","Europe"
2002,"Sao Tome and Principe",59.68,58.77,60.62,5.924,"Middle Africa","Africa"
